Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicants HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
484650,59500,41585,0.6989,1,5000,58016,17915,42647,50000,-7353,0,0,0,0,0,0,0,0,0,11,0,45000,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,14500,45000,0.7563,1
483585,37450,0,0,1,20000,169297,61512,323492,226085,97407,0,1,0,1,0,0,0,0,2,9,7,0,0,5000,1,0,0,0,0,0,0,0,3,1,1,0,1,32450,5000,0.1335,0
458726,59500,37736,0.6342,3,5000,82808,21764,37100,78431,-41331,0,1,0,0,0,0,0,0,1,11,0,50000,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,9500,50000,0.8403,1
466894,59500,0,0,2,31500,159450,71472,902951,281113,621838,0,0,0,0,0,0,0,0,0,11,0,22000,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,37500,22000,0.3697,1
483422,59500,0,0,1,40000,586496,263173,1420302,525530,894772,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,59500,0,0,0
484655,59500,6716,0.1129,1,30000,110136,52784,993748,211230,782518,0,0,0,0,0,0,0,0,0,11,6,10000,0,20000,0,0,0,0,0,0,0,0,4,1,0,0,0,29500,30000,0.5042,1
499135,63450,0,0,2,30000,519724,232832,1353500,678503,674997,0,0,0,0,0,0,0,0,0,12,1,0,0,3000,1,0,0,0,0,0,0,0,3,1,0,0,0,60450,3000,0.0473,0
464302,63450,0,0,1,9000,161447,75548,1020000,267700,752300,0,0,0,0,0,0,0,0,0,12,1,17500,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,45950,17500,0.2758,1
465444,63450,18954,0.2987,1,6000,81834,40546,1100408,108570,991838,0,0,0,0,0,0,0,0,0,12,1,25000,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,38450,25000,0.394,0
458730,59500,0,0,1,25000,233080,152598,1081000,518572,562428,0,0,0,0,0,0,0,0,0,9,0,30000,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,29500,30000,0.5042,1
458772,59500,36023,0.6054,2,8000,95578,23477,602482,288404,314078,0,0,0,0,0,0,0,0,0,11,0,36000,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,23500,36000,0.605,1
488815,59500,49915,0.8389,1,7440,106129,9585,212645,282997,-70352,0,0,0,0,0,0,0,0,0,11,1,48500,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,11000,48500,0.8151,1
462731,59500,0,0,1,59500,608755,522565,4213810,0,4213810,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,59500,0,0,1
461251,59500,54500,0.916,1,5000,500,5000,25000,10400,14600,0,0,0,0,0,0,0,0,0,11,6,45000,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,14500,45000,0.7563,0
482976,59500,0,0,3,15000,225080,102722,723649,257000,466649,0,0,0,0,0,0,0,0,0,11,0,15000,0,20000,0,0,0,0,0,0,0,0,5,1,1,1,2,24500,35000,0.5882,1
464664,59500,0,0,2,18000,193000,114757,779907,5000,774907,0,0,0,0,0,0,0,0,0,11,0,15000,0,10000,1,0,0,0,0,0,0,0,5,1,0,1,1,34500,25000,0.4202,1
475099,63450,54626,0.8609,1,2400,78872,8824,70600,17685,52915,0,0,0,0,0,0,0,0,0,12,0,48000,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,15450,48000,0.7565,1
457468,59500,45472,0.7642,1,6200,65985,14028,311343,26100,285243,0,0,0,0,0,0,0,0,0,9,6,40000,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,19500,40000,0.6723,1
487375,59500,0,0,1,10000,55000,67643,2085000,7000,2078000,0,0,0,0,0,0,0,0,0,11,6,0,0,7500,1,0,0,0,0,0,0,0,4,1,1,0,1,52000,7500,0.1261,1
